# PcbXY Version 1.0
# Date: Sat 29 Jun 2013 11:13:34 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
C29,"0402_sr.fp","sr-c-27p-0402-50v",1293.31,1049.21,90,top
C30,"0402_sr.fp","sr-c-27p-0402-50v",986.22,968.50,90,top
R17,"0402_sr.fp","sr-r-100-0402",986.22,1043.31,90,top
C23,"1206_sr.fp","sr-c-2u2-1206-50v",1462.60,854.33,0,top
L8,"0402_sr.fp","sr-fb-200m-1k-0402",1409.45,919.29,0,top
C22,"0603_sr.fp","sr-c-1u-0603-16v",1375.98,970.47,0,top
L7,"0402_sr.fp","sr-fb-200m-1k-0402",1293.31,974.41,270,top
R18,"0402_sr.fp","sr-r-10k-0402",2092.52,1370.08,270,top
R19,"0402_sr.fp","sr-r-10k-0402",2210.63,1370.08,90,top
R20,"0402_sr.fp","sr-r-10k-0402",2171.26,1370.08,90,top
C27,"0402_sr.fp","sr-c-100n-0402-16v",2131.89,1370.08,270,top
D5,"SOD323_sr.fp","sr-d-bzx384c3v3",1775.59,935.04,180,top
U1,"SOT26_sr.fp","sr-ic-lmr14203",1929.13,1291.34,270,top
C50,"0402_sr.fp","sr-c-220n-0402-16v",2064.96,1232.28,0,top
L12,"SRN6045_sr.fp","sr-l-68u-900ma",1984.25,1070.87,90,top
L1,"0402_sr.fp","sr-fb-200m-1k-0402",1889.76,1379.92,180,top
R57,"0402_sr.fp","sr-r-10k-0402",2064.96,1271.65,180,top
C51,"0402_sr.fp","sr-c-33n-0402-25v",1889.76,913.39,0,top
C52,"0805_sr.fp","sr-c-22u-0805-6v3",1734.25,1051.18,270,top
D13,"SOT23_sr.fp","sr-d-bat754c",1770.34,1185.04,90,top
C4,"0805_sr.fp","sr-c-22u-0805-6v3",1812.99,1051.18,270,top
C3,"1206_sr.fp","sr-c-2u2-1206-50v",1759.84,1354.33,180,top
C2,"0603_sr.fp","sr-c-47n-0603-50v",1791.34,1279.53,180,top
R56,"0402_sr.fp","sr-r-33k2-0402",2064.96,1311.02,0,top
C49,"0402_sr.fp","sr-c-33n-0402-25v",956.69,1389.76,0,top
R4,"0402_sr.fp","sr-r-330-0402",421.26,1287.40,90,top
R6,"0402_sr.fp","sr-r-330-0402",421.26,1362.20,270,top
R7,"0402_sr.fp","sr-r-330-0402",421.26,1147.64,270,top
R8,"0402_sr.fp","sr-r-330-0402",421.26,1072.83,90,top
L2,"0402_sr.fp","sr-fb-200m-1k-0402",1025.59,1220.47,90,top
D4,"SOT23_sr.fp","sr-d-bat754s",1485.56,1334.65,270,top
C41,"0402_sr.fp","sr-c-33n-0402-25v",1381.89,1314.96,90,top
R23,"0402_sr.fp","sr-r-1k1-0402",1342.52,1314.96,90,top
R22,"0402_sr.fp","sr-r-4k3-0402",1364.17,1374.02,180,top
C42,"0402_sr.fp","sr-c-33n-0402-25v",1381.89,1055.12,90,top
R26,"0402_sr.fp","sr-r-1k1-0402",1342.52,1055.12,90,top
R25,"0402_sr.fp","sr-r-4k3-0402",1364.17,1114.17,180,top
D6,"SOT23_sr.fp","sr-d-bat754s",1485.56,1074.80,270,top
D7,"SOT23_sr.fp","sr-d-bat754s",1485.56,1204.72,270,top
R33,"0402_sr.fp","sr-r-4k3-0402",1364.17,1244.09,180,top
C43,"0402_sr.fp","sr-c-33n-0402-25v",1381.89,1185.04,90,top
R34,"0402_sr.fp","sr-r-1k1-0402",1342.52,1185.04,90,top
D9,"SOT23_sr.fp","sr-d-bat754s",1235.56,1334.65,270,top
D8,"SOT23_sr.fp","sr-d-bat754s",1235.56,1204.72,270,top
R42,"0402_sr.fp","sr-r-1k1-0402",1092.52,1185.04,90,top
R41,"0402_sr.fp","sr-r-4k3-0402",1114.17,1244.09,180,top
C46,"0402_sr.fp","sr-c-33n-0402-25v",1131.89,1185.04,90,top
R49,"0402_sr.fp","sr-r-4k3-0402",1114.17,1374.02,180,top
R50,"0402_sr.fp","sr-r-1k1-0402",1092.52,1314.96,90,top
C47,"0402_sr.fp","sr-c-33n-0402-25v",1131.89,1314.96,90,top
C45,"0402_sr.fp","sr-c-33n-0402-25v",881.89,1389.76,180,top
R48,"0402_sr.fp","sr-r-10k-0402",726.38,1927.17,0,top
R55,"0402_sr.fp","sr-r-1k1-0402",844.49,1917.32,90,top
R31,"0402_sr.fp","sr-r-1k-0402",2108.27,1927.17,0,top
R28,"0402_sr.fp","sr-r-1k-0402",1909.45,1917.32,270,top
R44,"0402_sr.fp","sr-r-1k-0402",647.64,1927.17,180,top
R47,"0402_sr.fp","sr-r-1k-0402",883.86,1917.32,270,top
R52,"0402_sr.fp","sr-r-1k-0402",805.12,1917.32,270,top
R39,"0402_sr.fp","sr-r-1k1-0402",2027.56,1917.32,90,top
R32,"0402_sr.fp","sr-r-10k-0402",1948.82,1917.32,90,top
R36,"0402_sr.fp","sr-r-1k-0402",1988.19,1917.32,270,top
TP39,"TP_sr.fp","sr-nothing",1377.95,1732.28,0,bottom
TP40,"TP_sr.fp","sr-nothing",1456.69,1653.54,0,bottom
U2,"SOIC8_bypass_sr.fp","sr-ic-adum3211arz",1480.31,612.20,0,top
D3,"DO214AC_sr.fp","sr-d-smaj15ca",1417.32,2753.94,180,top
TP14,"TP_sr.fp","sr-nothing",2283.46,1299.21,0,bottom
L9,"0402_sr.fp","sr-fb-200m-1k-0402",1240.16,649.61,90,top
C24,"0402_sr.fp","sr-c-1n-0402-50v",1279.53,649.61,270,top
C25,"0402_sr.fp","sr-c-1n-0402-50v",1161.42,649.61,90,top
R14,"0402_sr.fp","sr-r-4k7-0402",1318.90,649.61,270,top
R15,"0402_sr.fp","sr-r-4k7-0402",1200.79,649.61,90,top
L10,"0402_sr.fp","sr-fb-200m-1k-0402",1122.05,649.61,270,top
VR1,"SOT26_sr.fp","sr-d-82400102",1856.30,698.82,180,top
R12,"0402_sr.fp","sr-r-330-0402",1742.13,785.43,180,top
DS6,"0805_led_sr.fp","sr-led-red-0805",1742.13,696.85,90,top
R1,"0402_sr.fp","sr-r-330-0402",1663.39,785.43,180,top
DS1,"0805_led_sr.fp","sr-led-green-0805",1663.39,696.85,90,top
C9,"0402_sr.fp","sr-c-100n-0402-16v",2149.61,647.64,90,top
C20,"0402_sr.fp","sr-c-100n-0402-16v",2110.24,647.64,90,top
C18,"0402_sr.fp","sr-c-100n-0402-16v",1992.13,647.64,270,top
L3,"0402_sr.fp","sr-fb-200m-1k-0402",1952.76,647.64,90,top
R10,"0402_sr.fp","sr-r-10k-0402",2070.87,647.64,90,top
R5,"0402_sr.fp","sr-r-4k7-0402",2031.50,647.64,270,top
TP11,"TP_sr.fp","sr-nothing",2047.24,905.51,0,bottom
TP3,"TP_sr.fp","sr-nothing",2086.61,1299.21,0,bottom
TP9,"TP_sr.fp","sr-nothing",474.41,984.25,0,bottom
R38,"0402_sr.fp","sr-r-10k-0402",1606.30,1106.30,0,top
R40,"0402_sr.fp","sr-r-4k7-0402",1606.30,1267.72,180,top
R43,"0402_sr.fp","sr-r-1k-0402",1606.30,1314.96,0,top
R45,"0402_sr.fp","sr-r-4k7-0402",1606.30,1220.47,180,top
R46,"0402_sr.fp","sr-r-1k-0402",1606.30,1173.23,0,top
R24,"0402_sr.fp","sr-r-4k7-0402",1606.30,1011.81,180,top
R27,"0402_sr.fp","sr-r-1k-0402",1606.30,1059.06,0,top
R29,"0402_sr.fp","sr-r-4k7-0402",1606.30,964.57,180,top
R30,"0402_sr.fp","sr-r-1k-0402",1606.30,917.32,0,top
R54,"0402_sr.fp","sr-r-10k-0402",1606.30,1362.20,0,top
TP41,"TP_sr.fp","sr-nothing",923.23,1163.39,0,bottom
Y1,"ABMM2_sr.fp","sr-xtal-abmm2-8.000mhz-e2-t",1139.76,1023.62,180,top
J4,"header_127_10w_sr.fp","sr-cn-header2x5-1.27mm",613.13,766.31,0,top
J1,"FCI_10103592_sr.fp","sr-cn-usb-micro-b",1811.02,512.20,180,top
